"Election","Office","ReportingCountyName","NameonBallot","PoliticalParty","TotalVotes"
"2022 General Election","Secretary Of State","Dekalb","Destiny Wells","Democratic","3048"
"2022 General Election","Secretary Of State","Dekalb","Diego Morales","Republican","8022"
"2022 General Election","Secretary Of State","Dekalb","Jeffrey Maurer","Libertarian","540"
"2022 General Election","Secretary Of State","Delaware","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Delaware","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Delaware","Destiny Wells","Democratic","12850"
"2022 General Election","Secretary Of State","Delaware","Diego Morales","Republican","15228"
"2022 General Election","Secretary Of State","Delaware","Jeffrey Maurer","Libertarian","1751"
"2022 General Election","Secretary Of State","Dubois","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Dubois","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Dubois","Destiny Wells","Democratic","3945"
"2022 General Election","Secretary Of State","Dubois","Diego Morales","Republican","8956"
"2022 General Election","Secretary Of State","Dubois","Jeffrey Maurer","Libertarian","526"
"2022 General Election","Secretary Of State","Elkhart","Andrew Straw (W/I)","Disability","3"
"2022 General Election","Secretary Of State","Elkhart","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Elkhart","Destiny Wells","Democratic","13515"
"2022 General Election","Secretary Of State","Elkhart","Diego Morales","Republican","29354"
"2022 General Election","Secretary Of State","Elkhart","Jeffrey Maurer","Libertarian","1700"
"2022 General Election","Secretary Of State","Fayette","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Fayette","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Fayette","Destiny Wells","Democratic","1484"
"2022 General Election","Secretary Of State","Fayette","Diego Morales","Republican","4330"
"2022 General Election","Secretary Of State","Fayette","Jeffrey Maurer","Libertarian","296"
"2022 General Election","Secretary Of State","Floyd","Andrew Straw (W/I)","Disability","1"
"2022 General Election","Secretary Of State","Floyd","David Wetterer (W/I)","Green","2"
"2022 General Election","Secretary Of State","Floyd","Destiny Wells","Democratic","10891"
"2022 General Election","Secretary Of State","Floyd","Diego Morales","Republican","14926"
"2022 General Election","Secretary Of State","Floyd","Jeffrey Maurer","Libertarian","852"
"2022 General Election","Secretary Of State","Fountain","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Fountain","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Fountain","Destiny Wells","Democratic","1039"
"2022 General Election","Secretary Of State","Fountain","Diego Morales","Republican","3680"
"2022 General Election","Secretary Of State","Fountain","Jeffrey Maurer","Libertarian","231"
"2022 General Election","Secretary Of State","Franklin","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Franklin","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Franklin","Destiny Wells","Democratic","1326"
"2022 General Election","Secretary Of State","Franklin","Diego Morales","Republican","5638"
"2022 General Election","Secretary Of State","Franklin","Jeffrey Maurer","Libertarian","340"
"2022 General Election","Secretary Of State","Fulton","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Fulton","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Fulton","Destiny Wells","Democratic","1522"
"2022 General Election","Secretary Of State","Fulton","Diego Morales","Republican","3797"
"2022 General Election","Secretary Of State","Fulton","Jeffrey Maurer","Libertarian","180"
"2022 General Election","Secretary Of State","Gibson","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Gibson","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Gibson","Destiny Wells","Democratic","2522"
"2022 General Election","Secretary Of State","Gibson","Diego Morales","Republican","7162"
"2022 General Election","Secretary Of State","Gibson","Jeffrey Maurer","Libertarian","410"
"2022 General Election","Secretary Of State","Grant","Andrew Straw (W/I)","Disability","2"
"2022 General Election","Secretary Of State","Grant","David Wetterer (W/I)","Green","1"
"2022 General Election","Secretary Of State","Grant","Destiny Wells","Democratic","4325"
"2022 General Election","Secretary Of State","Grant","Diego Morales","Republican","10575"
"2022 General Election","Secretary Of State","Grant","Jeffrey Maurer","Libertarian","766"
"2022 General Election","Secretary Of State","Greene","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Greene","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Greene","Destiny Wells","Democratic","2270"
"2022 General Election","Secretary Of State","Greene","Diego Morales","Republican","6554"
"2022 General Election","Secretary Of State","Greene","Jeffrey Maurer","Libertarian","505"
"2022 General Election","Secretary Of State","Hamilton","Andrew Straw (W/I)","Disability","1"
"2022 General Election","Secretary Of State","Hamilton","David Wetterer (W/I)","Green","3"
"2022 General Election","Secretary Of State","Hamilton","Destiny Wells","Democratic","56160"
"2022 General Election","Secretary Of State","Hamilton","Diego Morales","Republican","61478"
"2022 General Election","Secretary Of State","Hamilton","Jeffrey Maurer","Libertarian","10715"
"2022 General Election","Secretary Of State","Hancock","Andrew Straw (W/I)","Disability","2"
"2022 General Election","Secretary Of State","Hancock","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Hancock","Destiny Wells","Democratic","7378"
"2022 General Election","Secretary Of State","Hancock","Diego Morales","Republican","13599"
"2022 General Election","Secretary Of State","Hancock","Jeffrey Maurer","Libertarian","2806"
"2022 General Election","Secretary Of State","Harrison","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Harrison","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Harrison","Destiny Wells","Democratic","3711"
"2022 General Election","Secretary Of State","Harrison","Diego Morales","Republican","9603"
"2022 General Election","Secretary Of State","Harrison","Jeffrey Maurer","Libertarian","450"
"2022 General Election","Secretary Of State","Hendricks","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Hendricks","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Hendricks","Destiny Wells","Democratic","17765"
"2022 General Election","Secretary Of State","Hendricks","Diego Morales","Republican","25454"
"2022 General Election","Secretary Of State","Hendricks","Jeffrey Maurer","Libertarian","5129"
"2022 General Election","Secretary Of State","Henry","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Henry","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Henry","Destiny Wells","Democratic","3891"
"2022 General Election","Secretary Of State","Henry","Diego Morales","Republican","8220"
"2022 General Election","Secretary Of State","Henry","Jeffrey Maurer","Libertarian","1283"
"2022 General Election","Secretary Of State","Howard","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Howard","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Howard","Destiny Wells","Democratic","8115"
"2022 General Election","Secretary Of State","Howard","Diego Morales","Republican","15126"
"2022 General Election","Secretary Of State","Howard","Jeffrey Maurer","Libertarian","1427"
"2022 General Election","Secretary Of State","Huntington","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Huntington","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Huntington","Destiny Wells","Democratic","2824"
"2022 General Election","Secretary Of State","Huntington","Diego Morales","Republican","7953"
"2022 General Election","Secretary Of State","Huntington","Jeffrey Maurer","Libertarian","457"
"2022 General Election","Secretary Of State","Jackson","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Jackson","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Jackson","Destiny Wells","Democratic","2550"
"2022 General Election","Secretary Of State","Jackson","Diego Morales","Republican","7974"
"2022 General Election","Secretary Of State","Jackson","Jeffrey Maurer","Libertarian","646"
"2022 General Election","Secretary Of State","Jasper","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Jasper","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Jasper","Destiny Wells","Democratic","2019"
"2022 General Election","Secretary Of State","Jasper","Diego Morales","Republican","6920"
"2022 General Election","Secretary Of State","Jasper","Jeffrey Maurer","Libertarian","285"
"2022 General Election","Secretary Of State","Jay","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Jay","David Wetterer (W/I)","Green","1"
"2022 General Election","Secretary Of State","Jay","Destiny Wells","Democratic","1366"
"2022 General Election","Secretary Of State","Jay","Diego Morales","Republican","3740"
"2022 General Election","Secretary Of State","Jay","Jeffrey Maurer","Libertarian","254"
"2022 General Election","Secretary Of State","Jefferson","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Jefferson","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Jefferson","Destiny Wells","Democratic","3290"
"2022 General Election","Secretary Of State","Jefferson","Diego Morales","Republican","6043"
"2022 General Election","Secretary Of State","Jefferson","Jeffrey Maurer","Libertarian","372"
"2022 General Election","Secretary Of State","Jennings","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Jennings","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Jennings","Destiny Wells","Democratic","1758"
"2022 General Election","Secretary Of State","Jennings","Diego Morales","Republican","5429"
"2022 General Election","Secretary Of State","Jennings","Jeffrey Maurer","Libertarian","663"
"2022 General Election","Secretary Of State","Johnson","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Johnson","David Wetterer (W/I)","Green","3"
"2022 General Election","Secretary Of State","Johnson","Destiny Wells","Democratic","14340"
"2022 General Election","Secretary Of State","Johnson","Diego Morales","Republican","25935"
"2022 General Election","Secretary Of State","Johnson","Jeffrey Maurer","Libertarian","4342"
"2022 General Election","Secretary Of State","Knox","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Knox","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Knox","Destiny Wells","Democratic","2683"
"2022 General Election","Secretary Of State","Knox","Diego Morales","Republican","6846"
"2022 General Election","Secretary Of State","Knox","Jeffrey Maurer","Libertarian","449"
"2022 General Election","Secretary Of State","Kosciusko","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Kosciusko","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Kosciusko","Destiny Wells","Democratic","4687"
"2022 General Election","Secretary Of State","Kosciusko","Diego Morales","Republican","16553"
"2022 General Election","Secretary Of State","Kosciusko","Jeffrey Maurer","Libertarian","1250"
"2022 General Election","Secretary Of State","Lagrange","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Lagrange","David Wetterer (W/I)","Green","1"
"2022 General Election","Secretary Of State","Lagrange","Destiny Wells","Democratic","1373"
"2022 General Election","Secretary Of State","Lagrange","Diego Morales","Republican","4884"
"2022 General Election","Secretary Of State","Lagrange","Jeffrey Maurer","Libertarian","288"
"2022 General Election","Secretary Of State","Lake","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Lake","David Wetterer (W/I)","Green","7"
"2022 General Election","Secretary Of State","Lake","Destiny Wells","Democratic","70412"
"2022 General Election","Secretary Of State","Lake","Diego Morales","Republican","58356"
"2022 General Election","Secretary Of State","Lake","Jeffrey Maurer","Libertarian","3793"
"2022 General Election","Secretary Of State","Laporte","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Laporte","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Laporte","Destiny Wells","Democratic","13833"
"2022 General Election","Secretary Of State","Laporte","Diego Morales","Republican","16486"
"2022 General Election","Secretary Of State","Laporte","Jeffrey Maurer","Libertarian","1405"
"2022 General Election","Secretary Of State","Lawrence","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Lawrence","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Lawrence","Destiny Wells","Democratic","2896"
"2022 General Election","Secretary Of State","Lawrence","Diego Morales","Republican","9030"
"2022 General Election","Secretary Of State","Lawrence","Jeffrey Maurer","Libertarian","703"
"2022 General Election","Secretary Of State","Madison","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Madison","David Wetterer (W/I)","Green","1"
"2022 General Election","Secretary Of State","Madison","Destiny Wells","Democratic","14140"
"2022 General Election","Secretary Of State","Madison","Diego Morales","Republican","18740"
"2022 General Election","Secretary Of State","Madison","Jeffrey Maurer","Libertarian","2693"
"2022 General Election","Secretary Of State","Marion","Andrew Straw (W/I)","Disability","8"
"2022 General Election","Secretary Of State","Marion","David Wetterer (W/I)","Green","31"
"2022 General Election","Secretary Of State","Marion","Destiny Wells","Democratic","141777"
"2022 General Election","Secretary Of State","Marion","Diego Morales","Republican","66021"
"2022 General Election","Secretary Of State","Marion","Jeffrey Maurer","Libertarian","15160"
"2022 General Election","Secretary Of State","Marshall","Andrew Straw (W/I)","Disability","1"
"2022 General Election","Secretary Of State","Marshall","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Marshall","Destiny Wells","Democratic","3378"
"2022 General Election","Secretary Of State","Marshall","Diego Morales","Republican","8743"
"2022 General Election","Secretary Of State","Marshall","Jeffrey Maurer","Libertarian","539"
"2022 General Election","Secretary Of State","Martin","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Martin","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Martin","Destiny Wells","Democratic","801"
"2022 General Election","Secretary Of State","Martin","Diego Morales","Republican","2397"
"2022 General Election","Secretary Of State","Martin","Jeffrey Maurer","Libertarian","199"
"2022 General Election","Secretary Of State","Miami","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Miami","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Miami","Destiny Wells","Democratic","1923"
"2022 General Election","Secretary Of State","Miami","Diego Morales","Republican","6156"
"2022 General Election","Secretary Of State","Miami","Jeffrey Maurer","Libertarian","398"
"2022 General Election","Secretary Of State","Monroe","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Monroe","David Wetterer (W/I)","Green","11"
"2022 General Election","Secretary Of State","Monroe","Destiny Wells","Democratic","25280"
"2022 General Election","Secretary Of State","Monroe","Diego Morales","Republican","12706"
"2022 General Election","Secretary Of State","Monroe","Jeffrey Maurer","Libertarian","1887"
"2022 General Election","Secretary Of State","Montgomery","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Montgomery","David Wetterer (W/I)","Green","1"
"2022 General Election","Secretary Of State","Montgomery","Destiny Wells","Democratic","2496"
"2022 General Election","Secretary Of State","Montgomery","Diego Morales","Republican","6443"
"2022 General Election","Secretary Of State","Montgomery","Jeffrey Maurer","Libertarian","757"
"2022 General Election","Secretary Of State","Morgan","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Morgan","David Wetterer (W/I)","Green","1"
"2022 General Election","Secretary Of State","Morgan","Destiny Wells","Democratic","5096"
"2022 General Election","Secretary Of State","Morgan","Diego Morales","Republican","13522"
"2022 General Election","Secretary Of State","Morgan","Jeffrey Maurer","Libertarian","2508"
"2022 General Election","Secretary Of State","Newton","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Newton","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Newton","Destiny Wells","Democratic","825"
"2022 General Election","Secretary Of State","Newton","Diego Morales","Republican","2946"
"2022 General Election","Secretary Of State","Newton","Jeffrey Maurer","Libertarian","174"
"2022 General Election","Secretary Of State","Noble","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Noble","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Noble","Destiny Wells","Democratic","2696"
"2022 General Election","Secretary Of State","Noble","Diego Morales","Republican","8227"
"2022 General Election","Secretary Of State","Noble","Jeffrey Maurer","Libertarian","503"
"2022 General Election","Secretary Of State","Ohio","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Ohio","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Ohio","Destiny Wells","Democratic","463"
"2022 General Election","Secretary Of State","Ohio","Diego Morales","Republican","1448"
"2022 General Election","Secretary Of State","Ohio","Jeffrey Maurer","Libertarian","50"
"2022 General Election","Secretary Of State","Orange","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Orange","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Orange","Destiny Wells","Democratic","1292"
"2022 General Election","Secretary Of State","Orange","Diego Morales","Republican","3896"
"2022 General Election","Secretary Of State","Orange","Jeffrey Maurer","Libertarian","160"
"2022 General Election","Secretary Of State","Owen","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Owen","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Owen","Destiny Wells","Democratic","1680"
"2022 General Election","Secretary Of State","Owen","Diego Morales","Republican","3849"
"2022 General Election","Secretary Of State","Owen","Jeffrey Maurer","Libertarian","587"
"2022 General Election","Secretary Of State","Parke","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Parke","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Parke","Destiny Wells","Democratic","992"
"2022 General Election","Secretary Of State","Parke","Diego Morales","Republican","3212"
"2022 General Election","Secretary Of State","Parke","Jeffrey Maurer","Libertarian","226"
"2022 General Election","Secretary Of State","Perry","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Perry","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Perry","Destiny Wells","Democratic","2516"
"2022 General Election","Secretary Of State","Perry","Diego Morales","Republican","3424"
"2022 General Election","Secretary Of State","Perry","Jeffrey Maurer","Libertarian","219"
"2022 General Election","Secretary Of State","Pike","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Pike","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Pike","Destiny Wells","Democratic","882"
"2022 General Election","Secretary Of State","Pike","Diego Morales","Republican","2618"
"2022 General Election","Secretary Of State","Pike","Jeffrey Maurer","Libertarian","131"
"2022 General Election","Secretary Of State","Porter","Andrew Straw (W/I)","Disability","2"
"2022 General Election","Secretary Of State","Porter","David Wetterer (W/I)","Green","9"
"2022 General Election","Secretary Of State","Porter","Destiny Wells","Democratic","25916"
"2022 General Election","Secretary Of State","Porter","Diego Morales","Republican","29969"
"2022 General Election","Secretary Of State","Porter","Jeffrey Maurer","Libertarian","1880"
"2022 General Election","Secretary Of State","Posey","Andrew Straw (W/I)","Disability","3"
"2022 General Election","Secretary Of State","Posey","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Posey","Destiny Wells","Democratic","2414"
"2022 General Election","Secretary Of State","Posey","Diego Morales","Republican","5854"
"2022 General Election","Secretary Of State","Posey","Jeffrey Maurer","Libertarian","366"
"2022 General Election","Secretary Of State","Pulaski","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Pulaski","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Pulaski","Destiny Wells","Democratic","903"
"2022 General Election","Secretary Of State","Pulaski","Diego Morales","Republican","2633"
"2022 General Election","Secretary Of State","Pulaski","Jeffrey Maurer","Libertarian","151"
"2022 General Election","Secretary Of State","Putnam","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Putnam","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Putnam","Destiny Wells","Democratic","2583"
"2022 General Election","Secretary Of State","Putnam","Diego Morales","Republican","6257"
"2022 General Election","Secretary Of State","Putnam","Jeffrey Maurer","Libertarian","1023"
"2022 General Election","Secretary Of State","Randolph","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Randolph","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Randolph","Destiny Wells","Democratic","1619"
"2022 General Election","Secretary Of State","Randolph","Diego Morales","Republican","4830"
"2022 General Election","Secretary Of State","Randolph","Jeffrey Maurer","Libertarian","371"
"2022 General Election","Secretary Of State","Ripley","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Ripley","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Ripley","Destiny Wells","Democratic","1573"
"2022 General Election","Secretary Of State","Ripley","Diego Morales","Republican","6326"
"2022 General Election","Secretary Of State","Ripley","Jeffrey Maurer","Libertarian","420"
"2022 General Election","Secretary Of State","Rush","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Rush","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Rush","Destiny Wells","Democratic","1164"
"2022 General Election","Secretary Of State","Rush","Diego Morales","Republican","3111"
"2022 General Election","Secretary Of State","Rush","Jeffrey Maurer","Libertarian","544"
"2022 General Election","Secretary Of State","Scott","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Scott","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Scott","Destiny Wells","Democratic","2236"
"2022 General Election","Secretary Of State","Scott","Diego Morales","Republican","4155"
"2022 General Election","Secretary Of State","Scott","Jeffrey Maurer","Libertarian","287"
"2022 General Election","Secretary Of State","Shelby","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Shelby","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Shelby","Destiny Wells","Democratic","3109"
"2022 General Election","Secretary Of State","Shelby","Diego Morales","Republican","7067"
"2022 General Election","Secretary Of State","Shelby","Jeffrey Maurer","Libertarian","1280"
"2022 General Election","Secretary Of State","Spencer","Andrew Straw (W/I)","Disability","1"
"2022 General Election","Secretary Of State","Spencer","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Spencer","Destiny Wells","Democratic","2381"
"2022 General Election","Secretary Of State","Spencer","Diego Morales","Republican","4900"
"2022 General Election","Secretary Of State","Spencer","Jeffrey Maurer","Libertarian","245"
"2022 General Election","Secretary Of State","St. Joseph","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","St. Joseph","David Wetterer (W/I)","Green","5"
"2022 General Election","Secretary Of State","St. Joseph","Destiny Wells","Democratic","34746"
"2022 General Election","Secretary Of State","St. Joseph","Diego Morales","Republican","33748"
"2022 General Election","Secretary Of State","St. Joseph","Jeffrey Maurer","Libertarian","2654"
"2022 General Election","Secretary Of State","Starke","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Starke","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Starke","Destiny Wells","Democratic","1885"
"2022 General Election","Secretary Of State","Starke","Diego Morales","Republican","4579"
"2022 General Election","Secretary Of State","Starke","Jeffrey Maurer","Libertarian","317"
"2022 General Election","Secretary Of State","Steuben","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Steuben","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Steuben","Destiny Wells","Democratic","2692"
"2022 General Election","Secretary Of State","Steuben","Diego Morales","Republican","6559"
"2022 General Election","Secretary Of State","Steuben","Jeffrey Maurer","Libertarian","392"
"2022 General Election","Secretary Of State","Sullivan","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Sullivan","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Sullivan","Destiny Wells","Democratic","1837"
"2022 General Election","Secretary Of State","Sullivan","Diego Morales","Republican","3987"
"2022 General Election","Secretary Of State","Sullivan","Jeffrey Maurer","Libertarian","378"
"2022 General Election","Secretary Of State","Switzerland","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Switzerland","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Switzerland","Destiny Wells","Democratic","666"
"2022 General Election","Secretary Of State","Switzerland","Diego Morales","Republican","1849"
"2022 General Election","Secretary Of State","Switzerland","Jeffrey Maurer","Libertarian","101"
"2022 General Election","Secretary Of State","Tippecanoe","Andrew Straw (W/I)","Disability","3"
"2022 General Election","Secretary Of State","Tippecanoe","David Wetterer (W/I)","Green","7"
"2022 General Election","Secretary Of State","Tippecanoe","Destiny Wells","Democratic","18485"
"2022 General Election","Secretary Of State","Tippecanoe","Diego Morales","Republican","18324"
"2022 General Election","Secretary Of State","Tippecanoe","Jeffrey Maurer","Libertarian","1608"
"2022 General Election","Secretary Of State","Tipton","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Tipton","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Tipton","Destiny Wells","Democratic","1386"
"2022 General Election","Secretary Of State","Tipton","Diego Morales","Republican","3331"
"2022 General Election","Secretary Of State","Tipton","Jeffrey Maurer","Libertarian","462"
"2022 General Election","Secretary Of State","Union","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Union","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Union","Destiny Wells","Democratic","532"
"2022 General Election","Secretary Of State","Union","Diego Morales","Republican","1742"
"2022 General Election","Secretary Of State","Union","Jeffrey Maurer","Libertarian","144"
"2022 General Election","Secretary Of State","Vanderburgh","Andrew Straw (W/I)","Disability","1"
"2022 General Election","Secretary Of State","Vanderburgh","David Wetterer (W/I)","Green","1"
"2022 General Election","Secretary Of State","Vanderburgh","Destiny Wells","Democratic","19899"
"2022 General Election","Secretary Of State","Vanderburgh","Diego Morales","Republican","25221"
"2022 General Election","Secretary Of State","Vanderburgh","Jeffrey Maurer","Libertarian","1631"
"2022 General Election","Secretary Of State","Vermillion","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Vermillion","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Vermillion","Destiny Wells","Democratic","1705"
"2022 General Election","Secretary Of State","Vermillion","Diego Morales","Republican","3012"
"2022 General Election","Secretary Of State","Vermillion","Jeffrey Maurer","Libertarian","243"
"2022 General Election","Secretary Of State","Vigo","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Vigo","David Wetterer (W/I)","Green","4"
"2022 General Election","Secretary Of State","Vigo","Destiny Wells","Democratic","11773"
"2022 General Election","Secretary Of State","Vigo","Diego Morales","Republican","13444"
"2022 General Election","Secretary Of State","Vigo","Jeffrey Maurer","Libertarian","1205"
"2022 General Election","Secretary Of State","Wabash","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Wabash","David Wetterer (W/I)","Green","2"
"2022 General Election","Secretary Of State","Wabash","Destiny Wells","Democratic","2253"
"2022 General Election","Secretary Of State","Wabash","Diego Morales","Republican","7071"
"2022 General Election","Secretary Of State","Wabash","Jeffrey Maurer","Libertarian","431"
"2022 General Election","Secretary Of State","Warren","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Warren","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Warren","Destiny Wells","Democratic","596"
"2022 General Election","Secretary Of State","Warren","Diego Morales","Republican","2077"
"2022 General Election","Secretary Of State","Warren","Jeffrey Maurer","Libertarian","117"
"2022 General Election","Secretary Of State","Warrick","Andrew Straw (W/I)","Disability","7"
"2022 General Election","Secretary Of State","Warrick","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Warrick","Destiny Wells","Democratic","6605"
"2022 General Election","Secretary Of State","Warrick","Diego Morales","Republican","12722"
"2022 General Election","Secretary Of State","Warrick","Jeffrey Maurer","Libertarian","630"
"2022 General Election","Secretary Of State","Washington","Andrew Straw (W/I)","Disability","0"
"2022 General Election","Secretary Of State","Washington","David Wetterer (W/I)","Green","0"
"2022 General Election","Secretary Of State","Washington","Destiny Wells","Democratic","1880"
"2022 General Election","Secretary Of State","Washington","Diego Morales","Republican","5739"
"2022 General Election","Secretary Of State","Washington","Jeffrey Maurer","Libertarian","309"
